== cal_slot4_lid11_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/2 key_mean_energy=0.176
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  4.72  1.88       1     164    4890  0.004      0  0.75  0.20
  qpca    128  4.51  1.54       0      44     945  0.000      0  0.84  0.32
  qpca    256  3.91  1.13       0      10     244  0.000      0  0.91  0.55
  kpca     64  4.27  1.99      12    1522   28480  0.023      0  0.31  0.56
  kpca    128  3.34  1.21       1      94    2065  0.000      0  0.47  0.71
  kpca    256  2.57  0.42       0      12     217  0.000      0  0.64  0.85
  kmom     64  4.71  2.83       1     217    3847  0.000      0  0.37  0.61
  kmom    128  3.49  1.93       0      20     301  0.000      0  0.50  0.74
  kmom    256  2.87  1.20       0       5      94  0.000      0  0.66  0.87
  mix      64  4.13  1.81       0      48    1432  0.000      0  0.68  0.52
  mix     128  3.06  1.25       0       6     216  0.000      0  0.83  0.66
  mix     256  1.82  0.29       0       1      26  0.000      0  0.95  0.83
  diag     64  6.56  4.78     370   40548   59517  0.301      0  0.26  0.15
  diag    128  5.99  4.19      18    3417   55289  0.098      0  0.42  0.29
  diag    256  4.83  2.82       0      74    2647  0.000      0  0.67  0.54
== cal_slot4_lid23_seq64295.pt T=64295 A=59519 nq=256 need p50/p90/max=0/2/49 key_mean_energy=0.257
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.42  1.54       0      50    1046  0.000      0  0.77  0.21
  qpca    128  3.41  1.26       0      26     745  0.000      0  0.87  0.33
  qpca    256  2.88  0.57       0      12     156  0.000      0  0.94  0.55
  kpca     64  4.89  2.60      36     241    2122  0.000      0  0.27  0.68
  kpca    128  4.44  2.33       1      38     330  0.000      0  0.42  0.83
  kpca    256  3.33  1.77       0       8      68  0.000      0  0.64  0.93
  kmom     64  4.90  2.81      14     154    1919  0.000      0  0.29  0.80
  kmom    128  3.86  2.11       0      31     209  0.000      0  0.44  0.90
  kmom    256  2.42  1.02       0       7      70  0.000      0  0.66  0.96
  mix      64  3.40  1.43       0      36     269  0.000      0  0.69  0.69
  mix     128  3.48  1.27       0      14     119  0.000      0  0.83  0.83
  mix     256  2.76  0.31       0       4      66  0.000      0  0.94  0.94
  diag     64  6.90  4.73     732   38176   59518  0.312      0  0.22  0.20
  diag    128  6.16  4.05      58    2037   59213  0.078      0  0.37  0.35
  diag    256  4.92  3.03       2     157    4047  0.000      0  0.62  0.60
== cal_slot4_lid23_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/4 key_mean_energy=0.082
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.10  1.50       0      18     383  0.000      0  0.74  0.17
  qpca    128  2.61  1.17       0       4      80  0.000      0  0.85  0.29
  qpca    256  2.07  0.68       0       2      38  0.000      0  0.92  0.52
  kpca     64  3.98  2.14       2    1354    8067  0.016      0  0.28  0.53
  kpca    128  3.16  1.40       0     148    1790  0.000      0  0.41  0.68
  kpca    256  2.39  0.66       0       8     110  0.000      0  0.61  0.84
  kmom     64  4.53  2.88       0      88    1267  0.000      0  0.37  0.58
  kmom    128  4.05  2.22       0      16     204  0.000      0  0.49  0.72
  kmom    256  2.94  1.42       0       2      40  0.000      0  0.67  0.86
  mix      64  3.39  1.54       0       7     126  0.000      0  0.70  0.49
  mix     128  2.61  1.16       0       2      44  0.000      0  0.82  0.64
  mix     256  2.10  0.55       0       1       8  0.000      0  0.93  0.82
  diag     64  5.69  4.01       2    9368   59479  0.137      0  0.28  0.14
  diag    128  5.42  3.54       1     888   37011  0.055      0  0.44  0.28
  diag    256  4.23  2.55       0      22     441  0.000      0  0.68  0.53
== cal_slot4_lid27_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/1/11 key_mean_energy=0.250
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.49  1.68       1      32    3279  0.000      0  0.76  0.24
  qpca    128  3.53  1.19       1      25    2612  0.000      0  0.84  0.36
  qpca    256  2.02  0.63       0       4      50  0.000      0  0.91  0.58
  kpca     64  4.49  1.94      29     200    4470  0.004      0  0.25  0.68
  kpca    128  3.70  1.85       1      16      84  0.000      0  0.43  0.85
  kpca    256  2.95  1.10       0       5      26  0.000      0  0.63  0.93
  kmom     64  4.72  2.51       5      76     782  0.000      0  0.28  0.81
  kmom    128  3.67  1.74       0      15      60  0.000      0  0.48  0.90
  kmom    256  2.79  1.14       0       3      24  0.000      0  0.65  0.96
  mix      64  3.58  1.63       1      19      86  0.000      0  0.69  0.69
  mix     128  2.77  1.13       0       4      24  0.000      0  0.82  0.84
  mix     256  3.11  0.54       0       2      20  0.000      0  0.94  0.93
  diag     64  6.87  4.50    1220   28368   59517  0.332      0  0.22  0.19
  diag    128  6.22  3.97      49    1585   59013  0.047      0  0.38  0.34
  diag    256  4.62  2.78       1      98    5419  0.004      0  0.64  0.59
== cal_slot4_lid27_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/4 key_mean_energy=0.089
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.26  1.39       0      28    1149  0.000      0  0.74  0.20
  qpca    128  3.04  1.26       0       8     299  0.000      0  0.83  0.32
  qpca    256  1.83  1.14       0       1      15  0.000      0  0.90  0.56
  kpca     64  4.96  1.65     185    1329    5871  0.020      0  0.31  0.54
  kpca    128  4.36  0.56      25     228    1147  0.000      0  0.45  0.68
  kpca    256  3.25 -0.25       1      16      73  0.000      0  0.65  0.84
  kmom     64  4.81  3.14       0      32    1473  0.000      0  0.44  0.59
  kmom    128  4.07  2.16       0       8     246  0.000      0  0.58  0.72
  kmom    256  3.46  1.57       0       2      36  0.000      0  0.73  0.86
  mix      64  4.05  1.99       0      10     359  0.000      0  0.74  0.50
  mix     128  3.70  1.39       0       4      48  0.000      0  0.85  0.65
  mix     256  3.24  0.27       0       1      13  0.000      0  0.94  0.82
  diag     64  6.31  3.81     288    9969   48718  0.180      0  0.29  0.14
  diag    128  5.59  3.00      17     246    8483  0.012      0  0.46  0.27
  diag    256  4.50  2.49       0       6      88  0.000      0  0.70  0.53
== cal_slot4_lid31_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/8 key_mean_energy=0.207
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  4.14  1.73       0       8      91  0.000      0  0.74  0.20
  qpca    128  4.34  1.42       0       4      56  0.000      0  0.84  0.33
  qpca    256  3.18  0.93       0       1      32  0.000      0  0.91  0.55
  kpca     64  4.45  1.92       1      45     861  0.000      0  0.22  0.70
  kpca    128  3.67  0.97       0      16     111  0.000      0  0.34  0.82
  kpca    256  2.41 -0.42       0       2      45  0.000      0  0.53  0.93
  kmom     64  5.40  2.83       0      24     291  0.000      0  0.23  0.80
  kmom    128  4.31  1.99       0       4      62  0.000      0  0.35  0.90
  kmom    256  3.00  1.03       0       1      24  0.000      0  0.55  0.97
  mix      64  4.78  1.85       0       7      59  0.000      0  0.66  0.70
  mix     128  3.38  0.69       0       1      28  0.000      0  0.79  0.83
  mix     256  3.42  0.13       0       1      24  0.000      0  0.91  0.93
  diag     64  6.23  3.76      29    1186   47809  0.051      0  0.27  0.15
  diag    128  5.17  3.23       0      26     688  0.000      0  0.43  0.29
  diag    256  4.05  2.31       0       4      33  0.000      0  0.65  0.57
== cal_slot4_lid31_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/0/9 key_mean_energy=0.083
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  2.40  0.26       0       1    1068  0.000      0  0.72  0.16
  qpca    128  1.61 -0.11       0       0     548  0.000      0  0.83  0.28
  qpca    256  0.35 -0.67       0       0      40  0.000      0  0.92  0.52
  kpca     64  3.78  1.52       0      31    8212  0.004      0  0.18  0.57
  kpca    128  2.72  0.87       0       2    1520  0.000      0  0.31  0.72
  kpca    256  1.52 -0.18       0       1     259  0.000      0  0.53  0.87
  kmom     64  4.91  3.04       0      10    2841  0.000      0  0.27  0.62
  kmom    128  4.05  2.26       0       1     570  0.000      0  0.39  0.77
  kmom    256  3.16  1.34       0       1     103  0.000      0  0.59  0.90
  mix      64  3.52  1.39       0       1     430  0.000      0  0.67  0.51
  mix     128  2.89  0.93       0       1      60  0.000      0  0.81  0.68
  mix     256  2.12  0.32       0       0      21  0.000      0  0.92  0.85
  diag     64  5.16  3.13       0     176   56971  0.031      0  0.27  0.14
  diag    128  5.11  2.94       0      36   24745  0.012      0  0.44  0.27
  diag    256  4.10  2.44       0       1     943  0.000      0  0.67  0.53
== cal_slot4_lid35_seq64295.pt T=64295 A=59517 nq=256 need p50/p90/max=0/1/6 key_mean_energy=0.192
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.63  2.22       0      34     137  0.000      0  0.80  0.20
  qpca    128  3.34  1.87       0      19      76  0.000      0  0.87  0.35
  qpca    256  3.20  1.20       0      10      49  0.000      0  0.93  0.59
  kpca     64  4.88  2.78      77    1064    3030  0.000      0  0.26  0.65
  kpca    128  4.27  1.93       4     202     718  0.000      0  0.40  0.78
  kpca    256  2.42  0.50       0      19      75  0.000      0  0.59  0.90
  kmom     64  5.58  2.92      66    1534    4534  0.012      0  0.27  0.71
  kmom    128  4.19  1.98       2     114     600  0.000      0  0.41  0.83
  kmom    256  3.08  0.99       0      16      76  0.000      0  0.59  0.93
  mix      64  3.98  1.59       0      48     220  0.000      0  0.77  0.61
  mix     128  3.48  1.02       0      23      92  0.000      0  0.86  0.76
  mix     256  3.83  0.79       0      11      51  0.000      0  0.94  0.88
  diag     64  5.72  4.38     122    7852   38088  0.168      0  0.27  0.17
  diag    128  5.32  3.70      34     850    4524  0.008      0  0.43  0.31
  diag    256  4.39  2.67       1      73     223  0.000      0  0.67  0.58
== cal_slot4_lid35_seq65069.pt T=65069 A=59518 nq=256 need p50/p90/max=0/1/8 key_mean_energy=0.090
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  1.86  0.34       0       5     147  0.000      0  0.81  0.18
  qpca    128  1.22  0.02       0       2      52  0.000      0  0.88  0.32
  qpca    256  1.43 -0.31       0       2      43  0.000      0  0.94  0.58
  kpca     64  4.36  2.37     105    1282    6092  0.023      0  0.27  0.56
  kpca    128  3.34  1.37       3      84     746  0.000      0  0.43  0.71
  kpca    256  2.49  0.12       0      13     149  0.000      0  0.66  0.86
  kmom     64  6.00  3.59      18    1075    8140  0.016      0  0.36  0.60
  kmom    128  5.50  2.76       4     165    2084  0.000      0  0.52  0.74
  kmom    256  4.58  1.71       0      16     226  0.000      0  0.73  0.88
  mix      64  4.78  1.81       1      34     426  0.000      0  0.78  0.51
  mix     128  4.42  1.47       0       8     125  0.000      0  0.89  0.67
  mix     256  3.27  0.82       0       2      20  0.000      0  0.96  0.83
  diag     64  5.41  3.74     110    5792   50931  0.129      0  0.29  0.15
  diag    128  5.06  3.04       7     363   14238  0.027      0  0.46  0.28
  diag    256  4.18  2.22       1      18     655  0.000      0  0.69  0.54
