== cal_slot4_lid11_seq64295.pt T=64295 A=59518 nq=256 need p50/p90/max=0/0/2 key_mean_energy=0.176
  basis     r    zp   z50  fire50  fire90 firemax fallbk  fire0    qE    kE
  qpca     64  3.38       0      26  0.001  0.75  0.21  22
  qpca    128  3.02       0      10  0.000  0.85  0.33  22
  qpca    256  2.63       0       3  0.000  0.93  0.56  22
  kpca     64  4.70      60     896  0.020  0.27  0.61  22
  kpca    128  3.99      18     195  0.001  0.41  0.75  22
  kpca    256  2.95       0      12  0.000  0.61  0.89  22
  kmom     64  5.47      35     494  0.011  0.32  0.68  22
  kmom    128  4.59       8     124  0.000  0.45  0.80  22
  kmom    256  3.46       0       7  0.000  0.64  0.91  22
  mix      64  4.13       0      20  0.000  0.70  0.59  22
  mix     128  3.44       0       5  0.000  0.83  0.73  22
  mix     256  2.71       0       2  0.000  0.94  0.87  22
  diag     64  6.17     202   13448  0.162  0.25  0.17  22
  diag    128  5.71      16    1172  0.036  0.41  0.31  22
  diag    256  4.69       1      46  0.001  0.65  0.56  22
